Date,Product,Category,Region,Sales,Quantity,Price,Customer_Type,Discount,Profit
2024-04-07,Plant Stand,Furniture,South,49.99,24,49.99,Retail,0.05,14.25
2024-04-08,Thermal Printer,Electronics,East,199.99,13,199.99,Business,0.1,58.50
2024-04-09,Futon,Furniture,West,399.99,6,399.99,Business,0.15,117.50
2024-04-10,Gimbal Stabilizer,Electronics,North,149.99,14,149.99,Retail,0.08,43.75
2024-04-11,Wine Rack,Furniture,South,79.99,16,79.99,Retail,0.05,22.75
2024-04-12,Studio Headphones,Electronics,East,199.99,18,199.99,Business,0.1,58.50
2024-04-13,Media Console,Furniture,West,349.99,7,349.99,Business,0.12,102.50
2024-04-14,LED Ring Light Pro,Electronics,North,99.99,22,99.99,Retail,0.08,29.00
2024-04-15,Wall Mirror,Furniture,South,89.99,15,89.99,Retail,0.05,25.75
2024-04-16,USB Microphone,Electronics,East,79.99,28,79.99,Retail,0.1,23.25
2024-04-17,Jewelry Armoire,Furniture,West,249.99,8,249.99,Business,0.15,73.00
2024-04-18,Capture Card,Electronics,North,149.99,12,149.99,Business,0.08,43.75
2024-04-19,Accent Table,Furniture,South,99.99,17,99.99,Retail,0.05,28.75
2024-04-20,Portable Projector,Electronics,East,299.99,10,299.99,Business,0.12,87.75
2024-04-21,Ladder Shelf,Furniture,West,129.99,11,129.99,Retail,0.08,37.75
2024-04-22,Studio Monitor Speakers,Electronics,North,249.99,9,249.99,Business,0.15,73.00
2024-04-23,Console Table,Furniture,South,199.99,10,199.99,Retail,0.1,58.00
2024-04-24,Green Screen,Electronics,East,69.99,20,69.99,Retail,0.05,20.00
2024-04-25,Credenza,Furniture,West,499.99,4,499.99,Business,0.18,147.00
2024-04-26,Audio Interface,Electronics,North,179.99,11,179.99,Business,0.1,52.75
2024-04-27,Curio Cabinet,Furniture,South,349.99,6,349.99,Business,0.12,102.50
2024-04-28,MIDI Keyboard,Electronics,East,149.99,13,149.99,Retail,0.08,43.75
2024-04-29,Tufted Bench,Furniture,West,179.99,9,179.99,Retail,0.05,51.25
2024-04-30,Condenser Microphone,Electronics,North,99.99,16,99.99,Business,0.1,29.00
2024-05-01,Storage Ottoman,Furniture,South,119.99,14,119.99,Retail,0.08,34.75
2024-05-02,Stream Deck,Electronics,East,149.99,15,149.99,Retail,0.12,43.75
2024-05-03,Settee,Furniture,West,399.99,5,399.99,Business,0.15,117.50
2024-05-04,Elgato Key Light,Electronics,North,199.99,12,199.99,Business,0.1,58.50
2024-05-05,Ladder Bookcase,Furniture,South,149.99,10,149.99,Retail,0.05,42.75
2024-05-06,Professional Webcam,Electronics,East,249.99,14,249.99,Business,0.12,73.00
2024-05-07,Murphy Bed,Furniture,West,1299.99,2,1299.99,Business,0.2,382.00
2024-05-08,Boom Arm,Electronics,North,79.99,18,79.99,Retail,0.08,23.25
2024-05-09,Chaise Lounge,Furniture,South,549.99,4,549.99,Business,0.15,161.50
2024-05-10,Pop Filter,Electronics,East,19.99,35,19.99,Retail,0,5.75
2024-05-11,Secretary Desk,Furniture,West,299.99,7,299.99,Business,0.12,87.75
2024-05-12,Shock Mount,Electronics,North,29.99,30,29.99,Retail,0.05,8.50
2024-05-13,Parsons Table,Furniture,South,199.99,9,199.99,Retail,0.08,58.00
2024-05-14,XLR Cable,Electronics,East,24.99,40,24.99,Retail,0,7.25
2024-05-15,Sleeper Sofa,Furniture,West,799.99,3,799.99,Business,0.18,235.00
2024-05-16,Audio Mixer,Electronics,North,199.99,10,199.99,Business,0.1,58.50
2024-05-17,Buffet Cabinet,Furniture,South,449.99,5,449.99,Business,0.15,132.00
2024-05-18,Phantom Power Supply,Electronics,East,59.99,16,59.99,Business,0.08,17.50
2024-05-19,Armoire,Furniture,West,649.99,4,649.99,Business,0.2,191.00
2024-05-20,Acoustic Panels,Electronics,North,89.99,22,89.99,Retail,0.05,26.00
2024-05-21,Platform Bed,Furniture,South,499.99,6,499.99,Business,0.15,147.00
2024-05-22,Monitor Arm,Electronics,East,79.99,19,79.99,Retail,0.1,23.25
2024-05-23,Canopy Bed,Furniture,West,899.99,3,899.99,Business,0.18,264.50
2024-05-24,Cable Management,Electronics,North,34.99,28,34.99,Retail,0,10.00
2024-05-25,Daybed,Furniture,South,549.99,5,549.99,Business,0.15,161.50
